tolerance,threshold_ratio,min_length,gap_penalty,mismatch_score,match_score,auc
0.1,0.3,3,0,0,1,0.5912962962962963
0.1,0.3,3,0,0,2,0.5912962962962963
0.1,0.3,3,0,0,3,0.5912962962962963
0.1,0.3,3,0,-1,1,0.5522883597883598
0.1,0.3,3,0,-1,2,0.5522883597883598
0.1,0.3,3,0,-1,3,0.5522883597883598
0.1,0.3,3,0,-2,1,0.5522883597883598
0.1,0.3,3,0,-2,2,0.5522883597883598
0.1,0.3,3,0,-2,3,0.5522883597883598
0.1,0.3,3,0,-3,1,0.5522883597883598
0.1,0.3,3,0,-3,2,0.5522883597883598
0.1,0.3,3,0,-3,3,0.5522883597883598
0.1,0.3,3,-1,0,1,0.5928306878306878
0.1,0.3,3,-1,0,2,0.5955555555555555
0.1,0.3,3,-1,0,3,0.5958201058201058
0.1,0.3,3,-1,-1,1,0.4521428571428571
0.1,0.3,3,-1,-1,2,0.5379761904761905
0.1,0.3,3,-1,-1,3,0.5622619047619047
0.1,0.3,3,-1,-2,1,0.47115079365079365
0.1,0.3,3,-1,-2,2,0.47612433862433867
0.1,0.3,3,-1,-2,3,0.5504232804232804
0.1,0.3,3,-1,-3,1,0.4748015873015873
0.1,0.3,3,-1,-3,2,0.5309126984126984
0.1,0.3,3,-1,-3,3,0.5464417989417989
0.1,0.3,3,-2,0,1,0.5958068783068784
0.1,0.3,3,-2,0,2,0.5928306878306878
0.1,0.3,3,-2,0,3,0.5962037037037037
0.1,0.3,3,-2,-1,1,0.4513624338624339
0.1,0.3,3,-2,-1,2,0.5127116402116402
0.1,0.3,3,-2,-1,3,0.546005291005291
0.1,0.3,3,-2,-2,1,0.4706613756613756
0.1,0.3,3,-2,-2,2,0.4521428571428571
0.1,0.3,3,-2,-2,3,0.5089153439153439
0.1,0.3,3,-2,-3,1,0.46984126984126984
0.1,0.3,3,-2,-3,2,0.4707010582010581
0.1,0.3,3,-2,-3,3,0.48572751322751323
0.1,0.3,3,-3,0,1,0.5954497354497355
0.1,0.3,3,-3,0,2,0.5924470899470899
0.1,0.3,3,-3,0,3,0.5928306878306878
0.1,0.3,3,-3,-1,1,0.45288359788359794
0.1,0.3,3,-3,-1,2,0.5115343915343916
0.1,0.3,3,-3,-1,3,0.5341666666666667
0.1,0.3,3,-3,-2,1,0.4771825396825397
0.1,0.3,3,-3,-2,2,0.45894179894179893
0.1,0.3,3,-3,-2,3,0.4939285714285714
0.1,0.3,3,-3,-3,1,0.47362433862433867
0.1,0.3,3,-3,-3,2,0.4703306878306878
0.1,0.3,3,-3,-3,3,0.4521428571428571
0.1,0.3,5,0,0,1,0.5908730158730159
0.1,0.3,5,0,0,2,0.5908730158730159
0.1,0.3,5,0,0,3,0.5908730158730159
0.1,0.3,5,0,-1,1,0.5441005291005291
0.1,0.3,5,0,-1,2,0.5441005291005291
0.1,0.3,5,0,-1,3,0.5441005291005291
0.1,0.3,5,0,-2,1,0.5441005291005291
0.1,0.3,5,0,-2,2,0.5441005291005291
0.1,0.3,5,0,-2,3,0.5441005291005291
0.1,0.3,5,0,-3,1,0.5441005291005291
0.1,0.3,5,0,-3,2,0.5441005291005291
0.1,0.3,5,0,-3,3,0.5441005291005291
0.1,0.3,5,-1,0,1,0.5921296296296297
0.1,0.3,5,-1,0,2,0.5949735449735449
0.1,0.3,5,-1,0,3,0.5952910052910054
0.1,0.3,5,-1,-1,1,0.4308730158730159
0.1,0.3,5,-1,-1,2,0.5522751322751323
0.1,0.3,5,-1,-1,3,0.5599206349206349
0.1,0.3,5,-1,-2,1,0.5045767195767196
0.1,0.3,5,-1,-2,2,0.4832539682539682
0.1,0.3,5,-1,-2,3,0.5660978835978837
0.1,0.3,5,-1,-3,1,0.569047619047619
0.1,0.3,5,-1,-3,2,0.49353174603174604
0.1,0.3,5,-1,-3,3,0.5466137566137567
0.1,0.3,5,-2,0,1,0.5951719576719576
0.1,0.3,5,-2,0,2,0.5921296296296297
0.1,0.3,5,-2,0,3,0.5956349206349207
0.1,0.3,5,-2,-1,1,0.4399074074074073
0.1,0.3,5,-2,-1,2,0.5111772486772486
0.1,0.3,5,-2,-1,3,0.5428042328042327
0.1,0.3,5,-2,-2,1,0.5862698412698413
0.1,0.3,5,-2,-2,2,0.4308730158730159
0.1,0.3,5,-2,-2,3,0.5481878306878306
0.1,0.3,5,-2,-3,1,0.6983730158730158
0.1,0.3,5,-2,-3,2,0.49793650793650795
0.1,0.3,5,-2,-3,3,0.48173280423280423
0.1,0.3,5,-3,0,1,0.5948148148148149
0.1,0.3,5,-3,0,2,0.5917592592592593
0.1,0.3,5,-3,0,3,0.5921296296296297
0.1,0.3,5,-3,-1,1,0.45087301587301587
0.1,0.3,5,-3,-1,2,0.4898412698412698
0.1,0.3,5,-3,-1,3,0.5326058201058201
0.1,0.3,5,-3,-2,1,0.6091402116402117
0.1,0.3,5,-3,-2,2,0.4383862433862434
0.1,0.3,5,-3,-2,3,0.5166402116402117
0.1,0.3,5,-3,-3,1,0.6769444444444446
0.1,0.3,5,-3,-3,2,0.5094444444444444
0.1,0.3,5,-3,-3,3,0.4308730158730159
0.1,0.3,7,0,0,1,0.5898412698412698
0.1,0.3,7,0,0,2,0.5898412698412698
0.1,0.3,7,0,0,3,0.5898412698412698
0.1,0.3,7,0,-1,1,0.5630820105820106
0.1,0.3,7,0,-1,2,0.5630820105820106
0.1,0.3,7,0,-1,3,0.5630820105820106
0.1,0.3,7,0,-2,1,0.5630820105820106
0.1,0.3,7,0,-2,2,0.5630820105820106
0.1,0.3,7,0,-2,3,0.5630820105820106
0.1,0.3,7,0,-3,1,0.5630820105820106
0.1,0.3,7,0,-3,2,0.5630820105820106
0.1,0.3,7,0,-3,3,0.5630820105820106
0.1,0.3,7,-1,0,1,0.5894179894179894
0.1,0.3,7,-1,0,2,0.5924603174603174
0.1,0.3,7,-1,0,3,0.5930555555555554
0.1,0.3,7,-1,-1,1,0.5134656084656085
0.1,0.3,7,-1,-1,2,0.5613624338624339
0.1,0.3,7,-1,-1,3,0.5874206349206349
0.1,0.3,7,-1,-2,1,0.6287830687830687
0.1,0.3,7,-1,-2,2,0.5082936507936507
0.1,0.3,7,-1,-2,3,0.6099735449735451
0.1,0.3,7,-1,-3,1,0.6605291005291007
0.1,0.3,7,-1,-3,2,0.5122486772486773
0.1,0.3,7,-1,-3,3,0.5414947089947089
0.1,0.3,7,-2,0,1,0.5924338624338623
0.1,0.3,7,-2,0,2,0.5894179894179894
0.1,0.3,7,-2,0,3,0.5933068783068782
0.1,0.3,7,-2,-1,1,0.5099603174603174
0.1,0.3,7,-2,-1,2,0.5208730158730158
0.1,0.3,7,-2,-1,3,0.5768121693121694
0.1,0.3,7,-2,-2,1,0.6619576719576721
0.1,0.3,7,-2,-2,2,0.5134656084656085
0.1,0.3,7,-2,-2,3,0.5672486772486772
0.1,0.3,7,-2,-3,1,0.6437830687830688
0.1,0.3,7,-2,-3,2,0.5820502645502644
0.1,0.3,7,-2,-3,3,0.5105820105820106
0.1,0.3,7,-3,0,1,0.5920370370370371
0.1,0.3,7,-3,0,2,0.5890873015873016
0.1,0.3,7,-3,0,3,0.5894179894179894
0.1,0.3,7,-3,-1,1,0.5338359788359788
0.1,0.3,7,-3,-1,2,0.492989417989418
0.1,0.3,7,-3,-1,3,0.5428439153439154
0.1,0.3,7,-3,-2,1,0.6748280423280423
0.1,0.3,7,-3,-2,2,0.5127645502645503
0.1,0.3,7,-3,-2,3,0.500542328042328
0.1,0.3,7,-3,-3,1,0.6356084656084656
0.1,0.3,7,-3,-3,2,0.6233068783068783
0.1,0.3,7,-3,-3,3,0.5134656084656085
0.1,0.3,9,0,0,1,0.5867063492063493
0.1,0.3,9,0,0,2,0.5867063492063493
0.1,0.3,9,0,0,3,0.5867063492063493
0.1,0.3,9,0,-1,1,0.579021164021164
0.1,0.3,9,0,-1,2,0.579021164021164
0.1,0.3,9,0,-1,3,0.579021164021164
0.1,0.3,9,0,-2,1,0.579021164021164
0.1,0.3,9,0,-2,2,0.579021164021164
0.1,0.3,9,0,-2,3,0.579021164021164
0.1,0.3,9,0,-3,1,0.579021164021164
